RunEventDate,DepartmentID,MachineID,RunEventShift,EmployeeID,JobID,ItemID,JobItem,Quantity,QtyUp
6/21/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420945,,420945-,80732,1
6/21/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420945,,420945-,109333,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420945,,420945-,27497,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,421022,,421022-,-   ,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,421022,,421022-,59717,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,2nd shift ,MEdwards ,420945,,420945-,4725,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,2nd shift ,MEdwards ,421022,,421022-,63500,1
6/22/2022,FINISHING ,Gluer #2 Bobst ,2nd shift ,MEdwards ,421022,,421022-,-   ,1
6/23/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,421022,,421022-,74103,1
6/23/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,421022,,421022-,72305,1
6/23/2022,FINISHING ,Gluer #2 Bobst ,2nd shift ,MEdwards ,421022,,421022-,44000,1
6/21/2022,FINISHING ,GLUER #8 BOBST ,1st shift ,dtomasko ,420569,,420569-,84500,1
6/21/2022,FINISHING ,GLUER #8 BOBST ,1st shift ,dtomasko ,420610,,420610-,47830,1
6/20/2022,PRINTING ,KBA RAPIDA130 P3 ,1st Shift ,RPlatt ,421022,,421022-,50775,12
6/20/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,421022,,421022-,48625,12
6/21/2022,PRINTING ,KBA RAPIDA130 P3 ,1st Shift ,RPlatt ,420950,8600,420950-8600,-   ,12
6/21/2022,PRINTING ,KBA RAPIDA130 P3 ,1st Shift ,RPlatt ,421022,,421022-,58384,12
6/21/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,420950,8600,420950-8600,1100,12
6/21/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,421022,,421022-,-   ,12
6/22/2022,PRINTING ,KBA RAPIDA130 P3 ,1st Shift ,RPlatt ,420950,8601,420950-8601,10171,12
6/22/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,420950,8601,420950-8601,8670,12
6/23/2022,PRINTING ,KBA RAPIDA130 P3 ,1st Shift ,RPlatt ,420950,8601,420950-8601,51250,12
6/23/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,420950,8767,420950-8767,51995,12
6/24/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,420941,,420941-,-   ,12
6/24/2022,PRINTING ,KBA RAPIDA130 P3 ,2nd Shift ,JClark ,420950,8601,420950-8601,8500,12
6/24/2022,PRINTING ,KBA RAPIDA130 P3 ,Overtime ,JClark ,420941,,420941-,5900,12
6/24/2022,PRINTING ,KBA RAPIDA130 P3 ,Overtime ,JClark ,421170,,421170-,7485,12
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,A Monday ,WRichardson ,421001,,421001-,6590,8
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,A Monday ,WRichardson ,421039,,421039-,7900,12
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,C Monday ,JAndrews ,412353,,412353-,6216,4
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,C Monday ,JAndrews ,420914,,420914-,9982,4
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,C Monday ,JAndrews ,421001,,421001-,3647,8
6/20/2022,PRINTING ,KBA Rapida 106 P1 ,C Monday ,JAndrews ,421002,,421002-,4518,9
